Numéro;Petite région agricole;Région agricole SAFER;Région agricole MdA;Vieille Région agricole MdA;code pra;code safer;code minister;code insee
54;La Haye;Plateau lorrain, La Haye, Montagne vosgienne, Côtes de Meuse;Plateau lorrain, La Haye, montagne vosgienne, côtes de Meuse;La Haye;pra409;ra227;ram227;54305
54;Montagne vosgienne;Plateau lorrain, La Haye, Montagne vosgienne, Côtes de Meuse;Plateau lorrain, La Haye, montagne vosgienne, côtes de Meuse;Montagne vosgienne;pra410;ra227;ram227;54307
54;Pays haut-lorrain;Pays haut-lorrain, Woëvre;Pays haut lorrain, Woëvre;Pays haut-lorrain;pra411;ra228;ram228;54308
54;Plateau lorrain;Plateau lorrain, La Haye, Montagne vosgienne, Côtes de Meuse;Plateau lorrain, La Haye, montagne vosgienne, côtes de Meuse;Plateau lorrain sud;pra412;ra227;ram227;54306
54;Woëvre;Pays haut-lorrain, Woëvre;Pays haut lorrain, Woëvre;Woëvre;pra413;ra228;ram228;54316
55;Argonne;Argonne;Argonne;Argonne;pra414;ra229;ram229;55315
55;Barrois;Barrois;Barrois;Barrois;pra415;ra230;ram230;55314
55;Pays de Montmédy;Woëvre, Pays de Montmédy;Woëvre, pays de Montmédy;Pays de Montmédy;pra416;ra231;ram231;55308
55;Woëvre;Woëvre, Pays de Montmédy;Woëvre, pays de Montmédy;Woëvre;pra417;ra231;ram231;55316
56;Bretagne centrale;Bretagne centrale;Bretagne centrale;Bretagne centrale;pra418;ra232;ram232;56359
56;Littoral breton sud;Littoral breton sud;Littoral breton Sud;Littoral breton Sud;pra419;ra233;ram233;56364
56;Région centrale;Région centrale;Région centrale;Région centrale;pra420;ra234;ram234;56363
56;Région nord;Région nord;Région Nord;Région Nord;pra421;ra235;ram235;56362
57;Montagne vosgienne;Warndt, Montagne vosgienne, Plateau lorrain nord;Warndt, montagne vosgienne, plateau lorrain Nord;Montagne vosgienne;pra422;ra236;ram236;57307
57;Pays haut-lorrain;Vallée de la Moselle, Plateau lorrain sud, Pays haut-lorrain;Vallée de la Moselle, plateau lorrain Sud, pays haut lorrain;Pays haut-lorrain;pra423;ra237;ram237;57308
57;Plateau lorrain nord;Warndt, Montagne vosgienne, Plateau lorrain nord;Warndt, montagne vosgienne, plateau lorrain Nord;Plateau lorrain nord;pra424;ra236;ram236;57473
57;Plateau lorrain sud;Vallée de la Moselle, Plateau lorrain sud, Pays haut-lorrain;Vallée de la Moselle, plateau lorrain Sud, pays haut lorrain;Plateau lorrain sud;pra425;ra237;ram237;57306
57;Vallée de la Moselle;Vallée de la Moselle, Plateau lorrain sud, Pays haut-lorrain;Vallée de la Moselle, plateau lorrain Sud, pays haut lorrain;Vallée de la Moselle;pra426;ra237;ram237;57004
57;Warndt;Warndt, Montagne vosgienne, Plateau lorrain nord;Warndt, montagne vosgienne, plateau lorrain Nord;Warndt;pra427;ra236;ram236;57003
58;Bourgogne nivernaise;Bourgogne nivernaise, Puisaye;Bourgogne nivernaise, Puisaye;Bourgogne nivernaise;pra428;ra238;ram238;58185
58;Entre Loire et Allier;Entre Loire et Allier, Sologne bourbonnaise;Entre Loire et Allier, Sologne bourbonnaise;Entre Loire et Allier;pra429;ra239;ram239;58180
58;Morvan;Morvan;Morvan;Morvan;pra430;ra240;ram240;58443
58;Nivernais central;Nivernais central;Nivernais central;Nivernais central;pra431;ra241;ram241;58188
58;Puisaye;Bourgogne nivernaise, Puisaye;Bourgogne nivernaise, Puisaye;Puisaye;pra432;ra238;ram238;58340
58;Sologne bourbonnaise;Entre Loire et Allier, Sologne bourbonnaise;Entre Loire et Allier, Sologne bourbonnaise;Sologne bourbonnaise;pra433;ra239;ram239;58429
59;Cambrésis;Cambrésis;Cambraisis;Cambrésis;pra434;ra242;ram242;59326
59;Flandre intérieure;Flandre intérieure, Flandre maritime;Flandre intérieure, Flandre maritime;Flandre intérieure;pra435;ra243;ram243;59025
59;Flandre maritime;Flandre intérieure, Flandre maritime;Flandre intérieure, Flandre maritime;Flandre maritime;pra436;ra243;ram243;59325
59;Hainaut;Hainaut;Hainaut;Hainaut;pra437;ra244;ram244;59033
59;Pévèle;Région de Lille, Pévèle;Région de Lille, Pévèle;Pévèle;pra438;ra245;ram245;59027
59;Plaine de la Lys;Plaine de la Lys;Plaine de la Lys;Plaine de la Lys;pra439;ra246;ram246;59324
59;Plaine de la Scarpe;Plaine de la Scarpe;Plaine de la Scarpe;Plaine de la Scarpe;pra440;ra247;ram247;59028
59;Région de Lille;Région de Lille, Pévèle;Région de Lille, Pévèle;Région de Lille;pra441;ra245;ram245;59026
59;Thiérache;Thiérache;Thiérache;Thiérache;pra442;ra248;ram248;59323
60;Clermontois;Vexin, Pays de Thelle, Clermontois;Vexin, pays de Thelle, Clermontois;Clermontois;pra443;ra249;ram249;60042
60;Noyonnais;Noyonnais, Soissonnais;Noyonnais, Soissonnais;Noyonnais;pra444;ra250;ram250;60043
60;Pays de Bray;Pays de Bray;Pays de Bray;Pays de Bray;pra445;ra251;ram251;60331
60;Pays de Thelle;Vexin, Pays de Thelle, Clermontois;Vexin, pays de Thelle, Clermontois;Pays de Thelle;pra446;ra249;ram249;60041
60;Plateau picard;Plateau picard;Plateau picard;Plateau picard;pra447;ra252;ram252;60327
60;Soissonnais;Noyonnais, Soissonnais;Noyonnais, Soissonnais;Soissonnais;pra448;ra250;ram250;60328
60;Valois et Multien;Valois et Multien;Valois et Multien;Valois et Multien;pra449;ra253;ram253;60329
60;Vexin français;Vexin, Pays de Thelle, Clermontois;Vexin, pays de Thelle, Clermontois;Vexin français;pra450;ra249;ram249;60330
61;Bocage ornais;Bocage ornais;Bocage Ornais;Bocage ornais;pra451;ra254;ram254;61354
61;Le Merlerault;Pays d’Auge et Le Merlerault;Pays d'Auge, Merlerault;Le Merlerault;pra452;ra255;ram255;61088
61;Pays d’Auge;Pays d’Auge et Le Merlerault;Pays d'Auge, Merlerault;Pays d’Auge;pra453;ra255;ram255;61353
61;Pays d’Ouche;Pays d’Ouche;Pays d'Ouche;Pays d’Ouche;pra454;ra256;ram256;61352
61;Perche ornais;Perche ornais;Perche Ornais;Perche ornais;pra455;ra257;ram257;61351
61;Plaines d’Alençon et d’Argentan;Plaines d’Alençon et d’Argentan;Plaines d'Alençon et d'Argentan;Plaines d’Alençon et d’Argentan;pra456;ra258;ram258;61355
62;Artois;Artois;Artois;Artois;pra457;ra259;ram259;62326
62;Bas-champs picards;Pays de Montreuil, Bas-champs picards;Pays de Montreuil, bas champs picards;Bas-champs picards;pra458;ra260;ram260;62040
62;Béthunois;Pays d'Aire, Plaine de la Lys, Béthunois;Pays d'Aire, plaine de la Lys, Béthunois;Béthunois;pra459;ra261;ram261;62031
62;Boulonnais;Boulonnais;Boulonnais;Boulonnais;pra460;ra262;ram262;62029
62;Collines guinoises;Wateringues, Collines guinoises;Wateringues, collines guinoises;Collines guinoises;pra461;ra263;ram263;62024
62;Haut-pays d’Artois;Haut-pays d’Artois;Haut pays d'Artois;Haut-pays d’Artois;pra462;ra264;ram264;62030
62;Pays d'Aire;Pays d'Aire, Plaine de la Lys, Béthunois;Pays d'Aire, plaine de la Lys, Béthunois;Pays d'Aire;pra463;ra261;ram261;62023
62;Pays de Montreuil;Pays de Montreuil, Bas-champs picards;Pays de Montreuil, bas champs picards;Pays de Montreuil;pra464;ra260;ram260;62039
62;Plaine de la Lys;Pays d'Aire, Plaine de la Lys, Béthunois;Pays d'Aire, plaine de la Lys, Béthunois;Plaine de la Lys;pra465;ra261;ram261;62324
62;Ternois;Ternois;Ternois;Ternois;pra466;ra265;ram265;62032
62;Wateringues;Wateringues, Collines guinoises;Wateringues, collines guinoises;Wateringues;pra467;ra263;ram263;62325
63;Artense;Dômes et périphérie, Cézallier, Artense;Dômes et péripherie, Cézallier, Artense;Artense;pra468;ra266;ram266;63421
63;Cézallier;Dômes et périphérie, Cézallier, Artense;Dômes et péripherie, Cézallier, Artense;Cézallier;pra469;ra266;ram266;63417
63;Combraille;Combraille, Combraille bourbonnaise;Combraille, Combraille bourbonnaise;Combraille;pra470;ra267;ram267;63181
63;Combraille bourbonnaise;Combraille, Combraille bourbonnaise;Combraille, Combraille bourbonnaise;Combraille bourbonnaise;pra471;ra267;ram267;63428
63;Dômes;Dômes et périphérie, Cézallier, Artense;Dômes et péripherie, Cézallier, Artense;Dômes;pra472;ra266;ram266;63166
63;Limagne agricole;Limagne agricole;Limagne agricole;Limagne agricole;pra473;ra268;ram268;63426
